press_peak,press_mean,press_std,press_rms,press_energy,press_dom_freq,press_centroid,press_bandwidth,press_power,release_peak,release_mean,release_std,release_rms,release_energy,release_dom_freq,release_centroid,release_bandwidth,release_power
32767.0,-91.26904761904763,7206.291840137508,29.14650187292759,3567978.0,73.49999999999999,6391.144442082303,5088.451016563217,458174414254200.0,32698.0,-37.401666666666664,4936.096426071254,11.43698053725387,549379.0,83.99999999999999,7183.8183442484315,4817.641379068849,214924389122372.0,0.0
32767.0,4.025952380952381,8611.706458516792,0.0,-1248125.0,73.49999999999999,7088.185696700736,5248.588456275653,654102945343320.0,32767.0,25.88952380952381,7096.465999065328,13.120267854408635,722994.0,83.99999999999999,6120.791492585823,4881.954057143414,444185236609248.06,1.0
32767.0,-316.71166666666664,14684.270062714082,0.0,-537887.0,73.49999999999999,5913.939627660831,5399.062061524218,1903604882663877.0,32114.0,180.38809523809525,5991.426203600577,0.0,-171772.0,73.49999999999999,7064.5189007148165,5526.82431756664,317186991084977.94,2.0
32767.0,-244.7097619047619,13533.681265793693,0.0,-146507.0,83.99999999999999,5882.557389891676,5368.249641525443,1616528459357279.8,32767.0,275.6547619047619,8198.486034445697,10.969438063482169,505380.0,83.99999999999999,4679.359945828841,4809.97223420536,594178211518457.9,3.0
32767.0,115.45285714285714,11765.500135430926,25.924046568315497,2822636.0,73.49999999999999,6413.923364437221,5412.285173502613,1221159828577200.0,32767.0,159.0654761904762,7094.570838676473,3.990375325466921,66877.0,73.49999999999999,4954.205140009057,4711.889206432747,444382766193072.06,4.0
32760.0,-99.07523809523809,7162.621675858784,23.89423122249983,2397924.0,73.49999999999999,6335.558218595865,4988.616562147003,452666654242470.06,23386.0,13.396666666666667,3112.5346125118235,22.101066554742168,2051520.0,83.99999999999999,5507.2441379425745,4761.697243952859,85450187153376.02,5.0
32692.0,121.22047619047619,5860.8841210959,11.050145441835337,512844.0,73.49999999999999,7118.1666441406405,5203.185804660957,303225829788960.06,22762.0,12.828333333333333,3350.4296754733505,0.0,-101811.0,83.99999999999999,4830.569608392186,4524.031702475878,99010744696916.02,0.0
32658.0,75.27595238095238,5408.921105059219,5.994382290746817,150917.0,73.49999999999999,6566.726729744608,4958.157455555042,258141160183080.1,30905.0,-45.57642857142857,3947.9754204940714,11.47852031280289,553377.0,73.49999999999999,6195.8136530569,4904.844746343563,137509540473900.03,1.0
32767.0,-25.887619047619047,7089.1891979292795,22.546280445003823,2135006.0,73.49999999999999,6007.430137660403,4703.026078667786,443274851543670.0,30718.0,-113.11428571428571,5013.204691259133,0.0,-295760.0,83.99999999999999,6562.01617228772,4773.7752518388315,221891891233368.03,2.0
32767.0,-3.3973809523809524,9880.80952695885,12.85852505797872,694435.0,83.99999999999999,6834.238601423156,5568.673958302139,861099814519579.8,32616.0,65.6952380952381,6216.254901425869,5.456930935800382,125068.0,83.99999999999999,6417.911279115625,4905.932538489587,340896729098352.1,3.0
32767.0,-273.6502380952381,10731.458391294967,19.45269598159548,1589311.0,83.99999999999999,6775.4787723716045,5432.403197925316,1017067995727380.0,29963.0,148.73404761904763,4264.598245409,0.0,-557583.0,73.49999999999999,5932.263095189627,4765.679847993741,160797769415640.03,4.0
32767.0,-293.0138095238095,10205.643554323487,28.519851064861903,3416204.0,83.99999999999999,6793.993349841879,5521.650141863204,920158801837674.0,32707.0,264.5552380952381,7303.101325614129,0.0,-1540734.0,83.99999999999999,5373.805493207349,5181.180503283709,471651697690814.1,5.0
32767.0,-150.97690476190476,9713.678327967657,0.0,-1008675.0,83.99999999999999,6637.901677654981,5379.087804969948,832617345195719.9,32767.0,15.119761904761905,6448.6172309735875,14.487523367826999,881531.0,83.99999999999999,5429.094611602769,4737.664986594488,366780768374399.94,6.0
32767.0,-155.1395238095238,11883.460500230272,0.0,-215348.0,83.99999999999999,6121.2245609308875,5217.883698112827,1245948962422848.5,32311.0,-38.70761904761905,4389.440724190275,22.26212885041278,2081530.0,83.99999999999999,5722.529376092783,4387.33044607909,169963017278334.0,7.0
32737.0,-77.14119047619047,11873.900881096863,3.431818898540678,49465.0,73.49999999999999,6403.724274987964,5306.987189663014,1243630483715264.0,32767.0,163.17904761904762,6367.330991818356,0.0,-126492.0,73.49999999999999,6700.567333809108,5195.639078373581,358058076180720.06,8.0
32767.0,-230.40404761904762,12840.266449610133,17.74196665965701,1322065.0,73.49999999999999,6518.132034220623,5604.157794596496,1455111336549192.2,29992.0,-80.48476190476191,6014.454360103484,20.320081552142312,1734204.0,73.49999999999999,5512.039764848056,5090.107788331754,319165890751319.94,9.0
31136.0,-82.37595238095238,6251.38534561533,0.0,-533073.0,73.49999999999999,6373.943575211361,4989.433491018616,344803702631136.0,16340.0,6.3097619047619045,3314.110310762861,18.142747468734875,1382469.0,83.99999999999999,5387.315423567501,4442.758022238516,96873632893376.02,0.0
32767.0,31.276666666666667,7723.772385682822,20.49744467233021,1764610.0,73.49999999999999,6613.492767803759,5109.2663731068105,526186110119330.06,31018.0,1.743809523809524,3806.989950214356,9.590173542299878,386280.0,73.49999999999999,5409.736383466434,4296.2940452710145,127829834595638.02,1.0
32767.0,-47.588095238095235,7958.127905621976,0.0,-1524254.0,83.99999999999999,6378.058908423113,4967.591506154089,558626421297122.0,32220.0,36.619285714285716,4186.8806264966315,28.09341983623991,3314809.0,73.49999999999999,6725.924704248769,5303.712610637096,154637978749888.0,2.0
32767.0,133.98690476190475,10394.966989529114,24.897279445945973,2603473.0,73.49999999999999,6588.988703448565,5244.488062488407,953364763293672.0,30324.0,86.14928571428571,5582.980317796602,11.548438360723434,560139.0,83.99999999999999,5736.543881465641,4664.298425726803,275047401320752.03,3.0
32767.0,13.015952380952381,9835.486913140348,16.29949604830074,1115829.0,73.49999999999999,6493.109399940201,5301.7942738930415,853220956052084.2,32767.0,71.9695238095238,4987.509360728751,18.07185393815213,1371686.0,73.49999999999999,5963.474498235945,4470.859453360953,219490939370214.06,4.0
32767.0,232.02738095238095,15154.875912752204,10.958112889327163,504337.0,83.99999999999999,6265.226466300897,5491.547463475134,2026641393590408.5,32767.0,54.266190476190474,5180.035976074717,9.11396103317793,348870.0,73.49999999999999,5899.120090364741,4663.830055163354,236716992214290.0,5.0
